year,basis,cadre,group,course_years,sanctioned_seats_frozen,sanctioned_seats_trend,fill_rate,completion_rate,completion_basis,qualified_output_frozen,qualified_output_trend,full_coverage_year
2028,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2029,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2030,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2031,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2032,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2033,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2034,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2035,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2036,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2037,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2038,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2039,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2040,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2041,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2042,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2043,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2044,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2045,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2046,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2047,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2048,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2049,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2050,Projected,MD Siddha,AYUSH,3,152,152,0.9658,0.9728,observed (1 cohort match),143,143,yes
2021,Observed,MD Homoeopathy,AYUSH,3,96,55,0.7711,0.7593,observed (1 cohort match),,,"no, partial"
2022,Observed,MD Homoeopathy,AYUSH,3,96,61,0.7711,0.7593,observed (1 cohort match),,,"no, partial"
2023,Observed,MD Homoeopathy,AYUSH,3,96,66,0.7711,0.7593,observed (1 cohort match),,,"no, partial"
2024,Observed,MD Homoeopathy,AYUSH,3,96,102,0.7711,0.7593,observed (1 cohort match),56,32,"no, partial"
2025,Observed,MD Homoeopathy,AYUSH,3,96,96,0.7711,0.7593,observed (1 cohort match),56,36,"no, partial"
2026,Projected,MD Homoeopathy,AYUSH,3,96,108,0.7711,0.7593,observed (1 cohort match),56,39,"no, partial"
2027,Projected,MD Homoeopathy,AYUSH,3,96,121,0.7711,0.7593,observed (1 cohort match),56,60,yes
2028,Projected,MD Homoeopathy,AYUSH,3,96,133,0.7711,0.7593,observed (1 cohort match),56,56,yes
2029,Projected,MD Homoeopathy,AYUSH,3,96,145,0.7711,0.7593,observed (1 cohort match),56,63,yes
2030,Projected,MD Homoeopathy,AYUSH,3,96,157,0.7711,0.7593,observed (1 cohort match),56,71,yes
2031,Projected,MD Homoeopathy,AYUSH,3,96,170,0.7711,0.7593,observed (1 cohort match),56,78,yes
2032,Projected,MD Homoeopathy,AYUSH,3,96,182,0.7711,0.7593,observed (1 cohort match),56,85,yes
2033,Projected,MD Homoeopathy,AYUSH,3,96,194,0.7711,0.7593,observed (1 cohort match),56,92,yes
2034,Projected,MD Homoeopathy,AYUSH,3,96,207,0.7711,0.7593,observed (1 cohort match),56,99,yes
2035,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,107,yes
2036,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,114,yes
2037,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,121,yes
2038,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2039,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2040,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2041,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2042,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2043,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2044,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2045,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2046,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2047,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2048,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2049,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2050,Projected,MD Homoeopathy,AYUSH,3,96,219,0.7711,0.7593,observed (1 cohort match),56,128,yes
2021,Observed,AHS PG (allied),Allied health,2,472,467,0.6516,0.9104,observed (3 cohort matches),,,"no, partial"
2022,Observed,AHS PG (allied),Allied health,2,472,390,0.6516,0.9104,observed (3 cohort matches),,,"no, partial"
2023,Observed,AHS PG (allied),Allied health,2,472,480,0.6516,0.9104,observed (3 cohort matches),280,277,"no, partial"
2024,Observed,AHS PG (allied),Allied health,2,472,470,0.6516,0.9104,observed (3 cohort matches),280,231,"no, partial"
2025,Observed,AHS PG (allied),Allied health,2,472,472,0.6516,0.9104,observed (3 cohort matches),280,285,"no, partial"
2026,Projected,AHS PG (allied),Allied health,2,472,481,0.6516,0.9104,observed (3 cohort matches),280,279,"no, partial"
2027,Projected,AHS PG (allied),Allied health,2,472,490,0.6516,0.9104,observed (3 cohort matches),280,280,yes
2028,Projected,AHS PG (allied),Allied health,2,472,499,0.6516,0.9104,observed (3 cohort matches),280,285,yes
2029,Projected,AHS PG (allied),Allied health,2,472,508,0.6516,0.9104,observed (3 cohort matches),280,291,yes
2030,Projected,AHS PG (allied),Allied health,2,472,517,0.6516,0.9104,observed (3 cohort matches),280,296,yes
2031,Projected,AHS PG (allied),Allied health,2,472,526,0.6516,0.9104,observed (3 cohort matches),280,301,yes
2032,Projected,AHS PG (allied),Allied health,2,472,535,0.6516,0.9104,observed (3 cohort matches),280,307,yes
2033,Projected,AHS PG (allied),Allied health,2,472,544,0.6516,0.9104,observed (3 cohort matches),280,312,yes
2034,Projected,AHS PG (allied),Allied health,2,472,553,0.6516,0.9104,observed (3 cohort matches),280,317,yes
2035,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,323,yes
2036,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,328,yes
2037,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2038,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2039,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2040,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2041,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2042,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2043,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2044,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2045,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2046,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2047,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2048,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2049,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
2050,Projected,AHS PG (allied),Allied health,2,472,562,0.6516,0.9104,observed (3 cohort matches),280,333,yes
